phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
baseline,https://robertdevore.com/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / commercial investigation,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,5 Python Scripts for OSINT and Pentesting,5 Python Scripts for OSINT and Pentesting,informational,5 python scripts for osint and pentesting,Learning Python; Combine TXT files; Email Scraper; Password Cracker(s),Regex Scanner; XSS Scanner; What’s next?; Related Reading,What is 5 Python Scripts for OSINT and Pentesting?; How does 5 Python Scripts for OSINT and Pentesting work?; Who is 5 Python Scripts for OSINT and Pentesting for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,5 Questions You Must Answer Before Writing Anything,5 Questions You Must Answer Before Writing Anything,informational,5 questions you must answer before writing anything,The 5 Questions That Sharpen Everything; 1. Who is this for – _really_?; 2. What problem are they actively trying to solve?; 3. What belief needs to be broken?,4. What do you want them to do next?; 5. What’s the sharpest thing you can say?; This Is How You Aim Before You Fire; Bonus: The “Pre-Prompt Primer”,What is 5 Questions You Must Answer Before Writing Anything?; How does 5 Questions You Must Answer Before Writing Anything work?; Who is 5 Questions You Must Answer Before Writing Anything for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,5 Things I’ve learned building my first blocks for Gutenberg,5 Things I’ve learned building my first blocks for Gutenberg,informational,5 things i’ve learned building my first blocks for gutenberg,"Building Blocks with Pillar Press; How to use Node.js and NPM; How to use create-guten-block to build a Blocks plugin; The more I use Gutenberg, the more I like it",Things are changing FAST with Gutenberg's impending release; Final thoughts; Related Reading,What is 5 Things I’ve learned building my first blocks for Gutenberg?; How does 5 Things I’ve learned building my first blocks for Gutenberg work?; Who is 5 Things I’ve learned building my first blocks for Gutenberg for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/7-days-full-time-wp-dispensary/,7 days full time at WP Dispensary,7 days full time at WP Dispensary,informational,7 days full time at wp dispensary,"What's been done; Started working on…; Overall, I'm feeling…; Related Reading",,What is 7 days full time at WP Dispensary?; How does 7 days full time at WP Dispensary work?; Who is 7 days full time at WP Dispensary for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/about/,About,About,informational,about,I build systems that explain themselves; Through-line; Selected surfaces; Field Notes,Projects; Contact,What is About?; How does About work?; Who is About for?,,thin for a substantive destination; no visible breadcrumb,editorial review: clarify purpose and add only evidence-backed useful detail
baseline,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,WordPress plugin with 5M+ active installs can be utilized in DDoS attacks,WordPress plugin with 5M+ active installs can be utilized in DDoS attacks,commercial investigation / product discovery,wordpress plugin with 5m+ active installs can be utilized in ddos attacks,How the exploit works; Recommendation to mitigate this issue; My Recommendations for users; Related Reading,,What is WordPress plugin with 5M+ active installs can be utilized in DDoS attacks?; How does WordPress plugin with 5M+ active installs can be utilized in DDoS attacks work?; Who is WordPress plugin with 5M+ active installs can be utilized in DDoS attacks for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/back-to-basics/,Back to Basics,Back to Basics,informational,back to basics,"Getting back to the basics; So, what am I gonna do about it?; Related Reading",,What is Back to Basics?; How does Back to Basics work?; Who is Back to Basics for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/,Writing,Writing,navigational / topic discovery,writing,Forever Forward; Zero Cool CLI – A Hacker’s Terminal from 1995; Stattic v1.0: The World’s Fastest Python-based Static Site Generator; Complete Beginner’s Guide: Building a Python URL Checker for Google Sheets,Grateful to See 20 of My WordPress Plugins Live On at WebDevStudios; I Just Launched a Python Course for PHP Developers; The Fastest Way for PHP Devs to Learn Python; WordPress & WooCommerce plugins I will no longer maintain,What is Writing?; How does Writing work?; Who is Writing for?,,no visible breadcrumb,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/10/,Writing,Writing,navigational / topic discovery,writing,? hue.js; Set Featured Images Programmatically in WordPress; WP Dispensary: 2 years after the launch; Dispensary Details for WooCommerce,7 days full time at WP Dispensary; Going all in with WP Dispensary; Enhance the power of your WordPress Custom Post Types; My Brothers Keeper,What is Writing?; How does Writing work?; Who is Writing for?,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/11/,Writing,Writing,navigational / topic discovery,writing,Relentless; Chapters for Authors; Twitter Marketing; Invest in Yourself,CannaBiz; Devio Digital; Health Benefits of Cannabis; Recent project updates,What is Writing?; How does Writing work?; Who is Writing for?,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/12/,Writing,Writing,navigational / topic discovery,writing,Leafly Reviews; Focus; Peddle; MNML,Run a Tor relay; Clean Blog,What is Writing?; How does Writing work?; Who is Writing for?,,,retain; monitor search and citation performance
