phase,source_url,http_status,target_url,chain_length,canonical_target,issues
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting.html,client-side alias,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,1,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything.html,client-side alias,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,1,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin.html,client-side alias,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,1,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/7-days-full-time-wp-dispensary.html,client-side alias,https://robertdevore.com/7-days-full-time-wp-dispensary/,1,https://robertdevore.com/7-days-full-time-wp-dispensary/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/about.html,client-side alias,https://robertdevore.com/about/,1,https://robertdevore.com/about/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack.html,client-side alias,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,1,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/back-to-basics.html,client-side alias,https://robertdevore.com/back-to-basics/,1,https://robertdevore.com/back-to-basics/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/10.html,client-side alias,https://robertdevore.com/blog/page/10/,1,https://robertdevore.com/blog/page/10/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/11.html,client-side alias,https://robertdevore.com/blog/page/11/,1,https://robertdevore.com/blog/page/11/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/12.html,client-side alias,https://robertdevore.com/blog/page/12/,1,https://robertdevore.com/blog/page/12/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/2.html,client-side alias,https://robertdevore.com/blog/page/2/,1,https://robertdevore.com/blog/page/2/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/3.html,client-side alias,https://robertdevore.com/blog/page/3/,1,https://robertdevore.com/blog/page/3/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/4.html,client-side alias,https://robertdevore.com/blog/page/4/,1,https://robertdevore.com/blog/page/4/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/5.html,client-side alias,https://robertdevore.com/blog/page/5/,1,https://robertdevore.com/blog/page/5/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/6.html,client-side alias,https://robertdevore.com/blog/page/6/,1,https://robertdevore.com/blog/page/6/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/7.html,client-side alias,https://robertdevore.com/blog/page/7/,1,https://robertdevore.com/blog/page/7/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/8.html,client-side alias,https://robertdevore.com/blog/page/8/,1,https://robertdevore.com/blog/page/8/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog/page/9.html,client-side alias,https://robertdevore.com/blog/page/9/,1,https://robertdevore.com/blog/page/9/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/blog.html,client-side alias,https://robertdevore.com/blog/,1,https://robertdevore.com/blog/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert.html,client-side alias,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,1,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor.html,client-side alias,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,1,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/cannabis-health-benefits.html,client-side alias,https://robertdevore.com/cannabis-health-benefits/,1,https://robertdevore.com/cannabis-health-benefits/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/cannabiz.html,client-side alias,https://robertdevore.com/cannabiz/,1,https://robertdevore.com/cannabiz/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/category/ai-content-systems.html,client-side alias,https://robertdevore.com/category/ai-content-systems/,1,https://robertdevore.com/category/ai-content-systems/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/category/developer-tools.html,client-side alias,https://robertdevore.com/category/developer-tools/,1,https://robertdevore.com/category/developer-tools/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/category/engineering-archive.html,client-side alias,https://robertdevore.com/category/engineering-archive/,1,https://robertdevore.com/category/engineering-archive/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/category/field-notes.html,client-side alias,https://robertdevore.com/category/field-notes/,1,https://robertdevore.com/category/field-notes/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/category/wordpress-archive.html,client-side alias,https://robertdevore.com/category/wordpress-archive/,1,https://robertdevore.com/category/wordpress-archive/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/category.html,client-side alias,https://robertdevore.com/category/,1,https://robertdevore.com/category/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0.html,client-side alias,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,1,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/chapters-for-authors-wordpress-plugin.html,client-side alias,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,1,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/clean-blog-free-wordpress-theme.html,client-side alias,https://robertdevore.com/clean-blog-free-wordpress-theme/,1,https://robertdevore.com/clean-blog-free-wordpress-theme/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets.html,client-side alias,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,1,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/contact.html,client-side alias,https://robertdevore.com/contact/,1,https://robertdevore.com/contact/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/creating-my-own-cipher-code.html,client-side alias,https://robertdevore.com/creating-my-own-cipher-code/,1,https://robertdevore.com/creating-my-own-cipher-code/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/customer-loyalty-for-woocommerce-v2.html,client-side alias,https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,1,https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/db-version-control-wordpress-plugin.html,client-side alias,https://robertdevore.com/db-version-control-wordpress-plugin/,1,https://robertdevore.com/db-version-control-wordpress-plugin/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/december-2024-a-retrospective.html,client-side alias,https://robertdevore.com/december-2024-a-retrospective/,1,https://robertdevore.com/december-2024-a-retrospective/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/delivery-drivers-for-woocommerce.html,client-side alias,https://robertdevore.com/delivery-drivers-for-woocommerce/,1,https://robertdevore.com/delivery-drivers-for-woocommerce/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/devio-digital.html,client-side alias,https://robertdevore.com/devio-digital/,1,https://robertdevore.com/devio-digital/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/dispensary-wordpress-plugins-2017.html,client-side alias,https://robertdevore.com/dispensary-wordpress-plugins-2017/,1,https://robertdevore.com/dispensary-wordpress-plugins-2017/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/do-less-deliver-more.html,client-side alias,https://robertdevore.com/do-less-deliver-more/,1,https://robertdevore.com/do-less-deliver-more/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/docupress-documentation-plugin-for-wordpress.html,client-side alias,https://robertdevore.com/docupress-documentation-plugin-for-wordpress/,1,https://robertdevore.com/docupress-documentation-plugin-for-wordpress/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/dont-shoot-the-messenger-choose-courage-over-convenience.html,client-side alias,https://robertdevore.com/dont-shoot-the-messenger-choose-courage-over-convenience/,1,https://robertdevore.com/dont-shoot-the-messenger-choose-courage-over-convenience/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/extreme-programming-for-extreme-leaders.html,client-side alias,https://robertdevore.com/extreme-programming-for-extreme-leaders/,1,https://robertdevore.com/extreme-programming-for-extreme-leaders/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/focus.html,client-side alias,https://robertdevore.com/focus/,1,https://robertdevore.com/focus/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/forever-forward.html,client-side alias,https://robertdevore.com/forever-forward/,1,https://robertdevore.com/forever-forward/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/going-all-in-one-year-later.html,client-side alias,https://robertdevore.com/going-all-in-one-year-later/,1,https://robertdevore.com/going-all-in-one-year-later/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/going-all-in-with-wp-dispensary.html,client-side alias,https://robertdevore.com/going-all-in-with-wp-dispensary/,1,https://robertdevore.com/going-all-in-with-wp-dispensary/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/goodbye-wordpress-a-eulogy.html,client-side alias,https://robertdevore.com/goodbye-wordpress-a-eulogy/,1,https://robertdevore.com/goodbye-wordpress-a-eulogy/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios.html,client-side alias,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,1,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/hello-2017.html,client-side alias,https://robertdevore.com/hello-2017/,1,https://robertdevore.com/hello-2017/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress.html,client-side alias,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,1,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/honoring-jesse-petersen-with-the-revival-of-stealth-login-page.html,client-side alias,https://robertdevore.com/honoring-jesse-petersen-with-the-revival-of-stealth-login-page/,1,https://robertdevore.com/honoring-jesse-petersen-with-the-revival-of-stealth-login-page/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
baseline,https://robertdevore.com/host-your-wordpress-plugins-on-github-and-automate-plugin-packaging.html,client-side alias,https://robertdevore.com/host-your-wordpress-plugins-on-github-and-automate-plugin-packaging/,1,https://robertdevore.com/host-your-wordpress-plugins-on-github-and-automate-plugin-packaging/,Static host serves HTTP 200; meta refresh is weaker than an HTTP 301/308 redirect.
