phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
baseline,https://robertdevore.com/,templates/page-home.html,homepage,"Systems, tools, and writing for work that has to hold up.",navigational / commercial investigation,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators","Systems, tools, and writing for work that has to hold up.","systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows | Tools with a visible operating record. | Strata | Snips | RepoRadar | How I build. | Make state visible | Keep work inspectable","Systems, tools, and writing for work that has to hold up.","H1: Systems, tools, and writing for work that has to hold up. | H2: Language, runtime, and local software workflows | H2: Tools with a visible operating record. | H3: Strata | H3: Snips | H3: RepoRadar | H2: How I build. | H3: Make state visible | H3: Keep work inspectable | H3: Records and receipts | H3: Pressure-test the ecosystem | H2: Writing | H2: Forever Forward | H2: Zero Cool CLI – A Hacker’s Terminal from 1995 | H2: Stattic v1.0: The World’s Fastest Python-based Static Site Generator | H2: I care about work that remains useful after the room changes.",435,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,content/posts/5-python-scripts-for-osint-and-pentesting.md,article,5 Python Scripts for OSINT and Pentesting,informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",5 Python Scripts for OSINT and Pentesting,5 python scripts for osint and pentesting,Learning Python | Combine TXT files | Email Scraper | Password Cracker(s) | Regex Scanner | XSS Scanner | What’s next? | Related Reading,5 Python Scripts for OSINT and Pentesting,H1: 5 Python Scripts for OSINT and Pentesting | H2: Learning Python | H2: Combine TXT files | H2: Email Scraper | H2: Password Cracker(s) | H2: Regex Scanner | H2: XSS Scanner | H2: What’s next? | H2: Related Reading,756,2023-08-09,,code/example; first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,content/posts/5-questions-you-must-answer-before-writing-anything.md,article,5 Questions You Must Answer Before Writing Anything,informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",5 Questions You Must Answer Before Writing Anything,5 questions you must answer before writing anything,The 5 Questions That Sharpen Everything | 1. Who is this for – _really_? | 2. What problem are they actively trying to solve? | 3. What belief needs to be broken? | 4. What do you want them to do next? | 5. What’s the sharpest thing you can say? | This Is How You Aim Before You Fire | Bonus: The “Pre-Prompt Primer”,5 Questions You Must Answer Before Writing Anything,H1: 5 Questions You Must Answer Before Writing Anything | H2: The 5 Questions That Sharpen Everything | H3: 1. Who is this for – _really_? | H3: 2. What problem are they actively trying to solve? | H3: 3. What belief needs to be broken? | H3: 4. What do you want them to do next? | H3: 5. What’s the sharpest thing you can say? | H2: This Is How You Aim Before You Fire | H2: Bonus: The “Pre-Prompt Primer” | H2: Mic-Drop Takeaway | H2: Related Reading,951,2025-05-20,,substantive depth; code/example; first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,content/posts/5-things-i-learned-building-my-first-gutenberg-blocks-plugin.md,article,5 Things I’ve learned building my first blocks for Gutenberg,informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",5 Things I’ve learned building my first blocks for Gutenberg,5 things i’ve learned building my first blocks for gutenberg,"Building Blocks with Pillar Press | How to use Node.js and NPM | How to use create-guten-block to build a Blocks plugin | The more I use Gutenberg, the more I like it | Things are changing FAST with Gutenberg's impending release | Final thoughts | Related Reading",5 Things I’ve learned building my first blocks for Gutenberg,"H1: 5 Things I’ve learned building my first blocks for Gutenberg | H2: Building Blocks with Pillar Press | H2: How to use Node.js and NPM | H2: How to use create-guten-block to build a Blocks plugin | H2: The more I use Gutenberg, the more I like it | H2: Things are changing FAST with Gutenberg's impending release | H2: Final thoughts | H2: Related Reading",1191,2018-05-14,,substantive depth; code/example; first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/7-days-full-time-wp-dispensary/,content/posts/7-days-full-time-wp-dispensary.md,article,7 days full time at WP Dispensary,informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",7 days full time at WP Dispensary,7 days full time at wp dispensary,"What's been done | Started working on… | Overall, I'm feeling… | Related Reading",7 days full time at WP Dispensary,"H1: 7 days full time at WP Dispensary | H2: What's been done | H2: Started working on… | H2: Overall, I'm feeling… | H2: Related Reading",840,2017-10-03,,code/example; first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/about/,content/pages/about.md,page,About,informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",About,about,I build systems that explain themselves | Through-line | Selected surfaces | Field Notes | Projects | Contact,About,H1: About | H2: I build systems that explain themselves | H2: Through-line | H2: Selected surfaces | H3: Field Notes | H3: Projects | H3: Contact,180,,,first-hand narrative; outbound sources,thin for a substantive destination; no visible breadcrumb,,editorial review: clarify purpose and add only evidence-backed useful detail
baseline,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,content/posts/all-in-one-wp-migration-plugin-ddos-attack.md,article,WordPress plugin with 5M+ active installs can be utilized in DDoS attacks,commercial investigation / product discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",WordPress plugin with 5M+ active installs can be utilized in DDoS attacks,wordpress plugin with 5m+ active installs can be utilized in ddos attacks,How the exploit works | Recommendation to mitigate this issue | My Recommendations for users | Related Reading,WordPress plugin with 5M+ active installs can be utilized in DDoS attacks,H1: WordPress plugin with 5M+ active installs can be utilized in DDoS attacks | H2: How the exploit works | H2: Recommendation to mitigate this issue | H2: My Recommendations for users | H2: Related Reading,815,2023-09-30,,code/example; first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/back-to-basics/,content/posts/back-to-basics.md,article,Back to Basics,informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Back to Basics,back to basics,"Getting back to the basics | So, what am I gonna do about it? | Related Reading",Back to Basics,"H1: Back to Basics | H2: Getting back to the basics | H2: So, what am I gonna do about it? | H2: Related Reading",598,2018-04-16,,first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/,templates/page-blog.html,blog-index,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,Forever Forward | Zero Cool CLI – A Hacker’s Terminal from 1995 | Stattic v1.0: The World’s Fastest Python-based Static Site Generator | Complete Beginner’s Guide: Building a Python URL Checker for Google Sheets | Grateful to See 20 of My WordPress Plugins Live On at WebDevStudios | I Just Launched a Python Course for PHP Developers | The Fastest Way for PHP Devs to Learn Python | WordPress & WooCommerce plugins I will no longer maintain,Writing,H1: Writing | H2: Forever Forward | H2: Zero Cool CLI – A Hacker’s Terminal from 1995 | H2: Stattic v1.0: The World’s Fastest Python-based Static Site Generator | H2: Complete Beginner’s Guide: Building a Python URL Checker for Google Sheets | H2: Grateful to See 20 of My WordPress Plugins Live On at WebDevStudios | H2: I Just Launched a Python Course for PHP Developers | H2: The Fastest Way for PHP Devs to Learn Python | H2: WordPress & WooCommerce plugins I will no longer maintain | H2: Goodbye WordPress: A Eulogy | H2: I Built a Python Stego-Cipher Tool (And You Can Have It) | H2: WP Townhall 13: The Debate Kevin Geary Doesn’t Want You to See | H2: Introducing: Markdown Comments for WordPress®,617,,,first-hand narrative; outbound sources,no visible breadcrumb,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/10/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,? hue.js | Set Featured Images Programmatically in WordPress | WP Dispensary: 2 years after the launch | Dispensary Details for WooCommerce | 7 days full time at WP Dispensary | Going all in with WP Dispensary | Enhance the power of your WordPress Custom Post Types | My Brothers Keeper,Writing,H1: Writing | H2: ? hue.js | H2: Set Featured Images Programmatically in WordPress | H2: WP Dispensary: 2 years after the launch | H2: Dispensary Details for WooCommerce | H2: 7 days full time at WP Dispensary | H2: Going all in with WP Dispensary | H2: Enhance the power of your WordPress Custom Post Types | H2: My Brothers Keeper | H2: DocuPress: documentation simplified. | H2: Top Dispensary WordPress Plugins | H2: Hello 2017 | H2: Organized Chaos,639,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
