phase,priority,category,affected_pages,evidence,expected_benefit,confidence,difficulty,recommended_action,status
baseline,P3,metadata,https://robertdevore.com/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/7-days-full-time-wp-dispensary/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/7-days-full-time-wp-dispensary/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/about/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/about/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/back-to-basics/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/back-to-basics/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/10/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/10/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/10/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/10/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/10/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/11/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/11/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/11/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/11/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/11/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/12/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/12/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/12/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/12/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/12/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/2/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/2/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/2/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/2/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/2/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/3/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/3/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/3/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/3/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/3/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/4/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/4/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/4/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/4/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/4/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/5/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/5/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/5/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/5/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/5/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/6/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/6/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/6/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
