audit_date,provider,locale,device,query,query_class,site_result_observed,observed_position,observed_url,leading_observed_results,interpretation
2026-08-09,"web-search provider (engine not exposed)",en-US,unspecified,"Robert DeVore software developer robertdevore.com",branded,yes,1,https://robertdevore.com/,"robertdevore.com; wordpress.stackexchange.com; linkedin.com","Strong exact-brand discovery; cached snippet still describes the previous production design and content."
2026-08-09,"web-search provider (engine not exposed)",en-US,unspecified,"Robert DeVore Kujo programming language",branded-product,no,"not observed",,"kojalang.org; academic programming-language sources","No RobertDeVore.com/Kujo result appeared in the returned result set; the similarly named Koja language creates ambiguity."
2026-08-09,"web-search provider (engine not exposed)",en-US,unspecified,"Kujo Robert DeVore software",branded-product,no,"not observed",,,"No result from the audited domain appeared in the returned result set."
2026-08-09,"web-search provider (engine not exposed)",en-US,unspecified,"Kujo Agents SDK",product,no,"not observed",,,"No result from the audited domain appeared in the returned result set."
2026-08-09,"web-search provider (engine not exposed)",en-US,unspecified,"Agent Repair Brief browser visual QA",non-branded,no,"not observed",,,"No result from the audited domain appeared in the returned result set."
2026-08-09,"web-search provider (engine not exposed)",en-US,unspecified,"AI workflow orchestration resumable runs deterministic",non-branded,no,"not observed",,"elementum.ai; mastra.ai; orchflow.cloud","Highly competitive informational query; audited domain was not observed."
2026-08-09,"web-search provider (engine not exposed)",en-US,unspecified,"WordPress plugin security audit developer service",non-branded,no,"not observed",,"miniorange.com; pluginauditor.com; patchstack.com","Commercial results are dominated by dedicated service/tool pages; audited domain was not observed."
2026-08-09,"web-search provider (engine not exposed)",en-US,unspecified,"WordPress image alt text accessibility plugin IMG A11Y",mixed,no,"not observed",,"wordpress.org; wpaccessibility.org","Audited domain and IMG A11Y article were not observed in the returned result set."
2026-08-09,"web-search provider (engine not exposed)",en-US,unspecified,"WooCommerce HPOS compatibility scanner",product-legacy,owned-ecosystem,"not ranked precisely",https://changelog.robertdevore.com/blog/hpos-compatibility-scanner-1-0-1/index.html,"changelog.robertdevore.com","An owned subdomain result was observed; the main audited domain was not."
2026-08-09,"web-search provider (engine not exposed)",en-US,unspecified,"Python URL checker Google Sheets script",non-branded,no,"not observed",,,"No result from the audited domain appeared in the returned result set."
