phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,h2_h3_structure,word_count,language,publication_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_links,image_count,images_missing_alt,images_missing_dimensions,page_depth,orphan,sitemap_inclusion,duplicate_title,duplicate_description,content_sha256
baseline,https://robertdevore.com/,templates/page-home.html,homepage,200,200,True,"index, follow (default)",https://robertdevore.com/,200,Robert DeVore,13,"Software systems, developer tools, agentic workflows, and technical writing.",76,"Systems, tools, and writing for work that has to hold up.","H2: Language, runtime, and local software workflows | H2: Tools with a visible operating record. | H3: Strata | H3: Snips | H3: RepoRadar | H2: How I build. | H3: Make state visible | H3: Keep work inspectable | H3: Records and receipts | H3: Pressure-test the ecosystem | H2: Writing | H2: Forever Forward | H2: Zero Cool CLI – A Hacker’s Terminal from 1995 | H2: Stattic v1.0: The World’s Fastest Python-based Static Site Generator | H2: I care about work that remains useful after the room changes.",435,en,,,Robert DeVore,False,Organization; WebSite,330,26,8,0,1,0,0,0,False,True,True,True,c56b6cbe39905a403d35940cab868a471abae2848129437d19241fed5ad6be2f
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,content/posts/5-python-scripts-for-osint-and-pentesting.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,200,5 Python Scripts for OSINT and Pentesting | Robert DeVore,57,Everything is insecure and you’re one bad decision away from being p0wn3d harder than you ever have in your entire life. It’s a harsh reality and one you’ve got to accept in full or ignore altogether. I’m from the group…,220,5 Python Scripts for OSINT and Pentesting,H2: Learning Python | H2: Combine TXT files | H2: Email Scraper | H2: Password Cracker(s) | H2: Regex Scanner | H2: XSS Scanner | H2: What’s next? | H2: Related Reading,756,en,2023-08-09,,Robert DeVore,True,BlogPosting; Organization; Person,6,18,13,0,6,0,5,2,False,True,False,False,e13cd8bb9877714ba7f070405f3b5b91eca761df36153614d350b766fe8056f5
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,content/posts/5-questions-you-must-answer-before-writing-anything.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,200,5 Questions You Must Answer Before Writing Anything | Robert DeVore,67,"You know the biggest problem with what people are publishing today? Most people treat AI like a vending machine. Drop in a half-baked prompt, hit enter, and expect magic to come out. They type: “Write a blog post about…",219,5 Questions You Must Answer Before Writing Anything,H2: The 5 Questions That Sharpen Everything | H3: 1. Who is this for – _really_? | H3: 2. What problem are they actively trying to solve? | H3: 3. What belief needs to be broken? | H3: 4. What do you want them to do next? | H3: 5. What’s the sharpest thing you can say? | H2: This Is How You Aim Before You Fire | H2: Bonus: The “Pre-Prompt Primer” | H2: Mic-Drop Takeaway | H2: Related Reading,951,en,2025-05-20,,Robert DeVore,True,BlogPosting; Organization; Person,6,19,2,0,4,0,3,3,False,True,False,False,6a5c671e065c169a412286941b3f4a8bdf9d5c4ccc2bea43b0059142aea57f5e
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,content/posts/5-things-i-learned-building-my-first-gutenberg-blocks-plugin.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,200,5 Things I’ve learned building my first blocks for Gutenberg | Robert DeVore,76,"Over the last few months I've watched as Gutenberg has been developed, silently taking notes, watching for patterns and possible areas to excel in. Then I found that the domain Pillar.Press was available and it snapped…",219,5 Things I’ve learned building my first blocks for Gutenberg,"H2: Building Blocks with Pillar Press | H2: How to use Node.js and NPM | H2: How to use create-guten-block to build a Blocks plugin | H2: The more I use Gutenberg, the more I like it | H2: Things are changing FAST with Gutenberg's impending release | H2: Final thoughts | H2: Related Reading",1191,en,2018-05-14,,Robert DeVore,True,BlogPosting; Organization; Person,5,18,26,0,2,0,1,3,False,True,False,False,c616779363954b11396c8910f63b3eb5464d48ac144a6337d02aef3b2872f073
baseline,https://robertdevore.com/7-days-full-time-wp-dispensary/,content/posts/7-days-full-time-wp-dispensary.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/7-days-full-time-wp-dispensary/,200,7 days full time at WP Dispensary | Robert DeVore,49,There's now been 7 days in the books for me working full time on WP Dispensary and I want to take a little bit of time to talk about what I've been up to. What's been done I made it a point to put some solid hours in…,217,7 days full time at WP Dispensary,"H2: What's been done | H2: Started working on… | H2: Overall, I'm feeling… | H2: Related Reading",840,en,2017-10-03,,Robert DeVore,True,BlogPosting; Organization; Person,6,21,17,0,6,0,5,3,False,True,False,False,9cb8d2af0ee747da4d9eb22ff03bfea84f7597b4d580d83bd6adcc93026182d2
baseline,https://robertdevore.com/about/,content/pages/about.md,page,200,200,True,"index, follow (default)",https://robertdevore.com/about/,200,About | Robert DeVore,21,"Robert DeVore builds software systems, developer tools, programming-language infrastructure, and agentic workflows.",115,About,H2: I build systems that explain themselves | H2: Through-line | H2: Selected surfaces | H3: Field Notes | H3: Projects | H3: Contact,180,en,,,Robert DeVore,False,Organization; WebSite,381,15,2,0,1,0,0,1,False,True,False,False,b48f1e7ab854a31978195f4bf16eca1875e23b154a05cdcd837cbe5d43479159
baseline,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,content/posts/all-in-one-wp-migration-plugin-ddos-attack.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,200,WordPress plugin with 5M+ active installs can be utilized in DDoS attacks | Robert DeVore,89,"While doing some vulnerability research for WordPress plugins myself and my clients use, I came across a plugin with 5M+ active installs that can be used in DDoS attacks by non-authenticated users. Let me preface this…",218,WordPress plugin with 5M+ active installs can be utilized in DDoS attacks,H2: How the exploit works | H2: Recommendation to mitigate this issue | H2: My Recommendations for users | H2: Related Reading,815,en,2023-09-30,,Robert DeVore,True,BlogPosting; Organization; Person,6,19,16,0,5,0,4,3,False,True,False,False,8810061943d31c6c20a91202a5c8610abfb315b6366b3facbafb168d2780152a
baseline,https://robertdevore.com/back-to-basics/,content/posts/back-to-basics.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/back-to-basics/,200,Back to Basics | Robert DeVore,30,"I always thought Impostor Syndrome was bullshit. Then I realized I was 6 months in to running WP Dispensary full time and I had no idea what I was doing. Recently, I've been working on WPD v2.0 and have pushed myself to…",220,Back to Basics,"H2: Getting back to the basics | H2: So, what am I gonna do about it? | H2: Related Reading",598,en,2018-04-16,,Robert DeVore,True,BlogPosting; Organization; Person,5,20,9,0,1,0,0,3,False,True,False,False,f20f60e138895b85a5435533d175d66e2a765cbc11dc2bf8ab687c28b90ad03c
baseline,https://robertdevore.com/blog/,templates/page-blog.html,blog-index,200,200,True,"index, follow (default)",https://robertdevore.com/blog/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,H2: Forever Forward | H2: Zero Cool CLI – A Hacker’s Terminal from 1995 | H2: Stattic v1.0: The World’s Fastest Python-based Static Site Generator | H2: Complete Beginner’s Guide: Building a Python URL Checker for Google Sheets | H2: Grateful to See 20 of My WordPress Plugins Live On at WebDevStudios | H2: I Just Launched a Python Course for PHP Developers | H2: The Fastest Way for PHP Devs to Learn Python | H2: WordPress & WooCommerce plugins I will no longer maintain | H2: Goodbye WordPress: A Eulogy | H2: I Built a Python Stego-Cipher Tool (And You Can Have It) | H2: WP Townhall 13: The Debate Kevin Geary Doesn’t Want You to See | H2: Introducing: Markdown Comments for WordPress®,617,en,,,Robert DeVore,False,Organization; WebSite,531,52,2,0,1,0,0,1,False,True,True,True,304997f8a7f4c55de4b9880d08050f5b6c627de2af51ed6a01cde121a7ff106b
baseline,https://robertdevore.com/blog/page/10/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/10/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,H2: ? hue.js | H2: Set Featured Images Programmatically in WordPress | H2: WP Dispensary: 2 years after the launch | H2: Dispensary Details for WooCommerce | H2: 7 days full time at WP Dispensary | H2: Going all in with WP Dispensary | H2: Enhance the power of your WordPress Custom Post Types | H2: My Brothers Keeper | H2: DocuPress: documentation simplified. | H2: Top Dispensary WordPress Plugins | H2: Hello 2017 | H2: Organized Chaos,639,en,,,Robert DeVore,False,Organization; WebSite,6,55,2,0,1,0,0,3,False,True,True,True,1027754eff87cfa5efa1644a2e0a916dcb55c0809ba473295f0e4aebd3ef469b
